1051|55819
286|55735
287|55825
284|55704
285|55764
286|55812
245|55703
246|55806
246|55749
247|55799
248|55830
304|55737
305|55757
306|55821
307|55848
284|55750
285|55792
286|55831
84|55765
101|55720
102|55756
103|55814
104|55847
97|55795
169|55751
170|55801
171|55833
31|55753
32|55845
48|55731
49|55827
50|55829
74|55758
41|55767
30|55729
31|55820
17|55797
21|55768
18|55721
19|55817
20|55745
19|55766
11|55727
17|55722
18|55822
17|55730
18|55824
15|55746
16|55840
16|55800
71|55714
72|55741
11|55772
25|55736
26|55770
27|55826
10|55702
11|55805
10|55798
10|55719
11|55816
8|55744
9|55832
6|55761
5|55701
6|55813
6|55794
5|55706
6|55763
5|55710
6|55769
10|55707
6|55796
5|55717
6|55802
5|55713
6|55804
5|55716
6|55803
5|55708
6|55809
5|55718
6|55849
5|55715
6|55841
5|55705
6|55815
5|55733
5|55732
6|55818
4|55723
5|55748
6|55839
5|55725
5|55742
6|55843
5|55726
6|55842
6|55734
7|55823
5|55836
5|55739
6|55850
5|55740
5|55724
6|55834
5|55747
6|55838
5|55755
6|55851
5|55759
5|55754
4|55709
5|55762
5|55760
5|55771
4|55774
5|55791
4|55712
5|55773
4|55711
5|55835
6|55844
5|55743
6|55807
5|55793
4|55790
5|55752
6|55846
Full|55738
1|55775
2|55776
3|55777
4|55778
5|55779
6|55780
7|55781
8|55782
9|55783
10|55784
11|55785
12|55786
13|55787
1|55788
2|55789
